a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.1-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 43-1
alacritty 0.11.0-2
alembic 1.8.4-1
alsa-card-profiles 1:0.3.61-1
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amdvlk 2022.Q4.2-1
amtk 5.6.1-1
android-studio 2021.2.1.16-1
anydesk-bin 6.2.0-2
aom 3.5.0-1
apache 2.4.54-3
apg 2.2.3-5
apm 2.6.5-3
apparmor 3.1.2-1
appstream 0.15.5-1
appstream-glib 0.8.2-1
apr 1.7.0-3
apr-util 1.6.1-10
arandr 0.1.10-7
archlinux-keyring 20221123-1
argon2 20190702-4
asciiquarium 1.1-6
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attica 5.100.0-1
attr 2.5.1-2
audacity 1:3.2.1-2
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.09.03-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avfs 1.1.4-2
awesome 4.3-3
ayatana-ido 0.9.2-1
babl 0.1.98-1
baloo 5.100.0-1
baloo-widgets 22.08.3-1
bamf 0.5.6-1
baobab 43.0-1
base 3-1
bash 5.1.016-1
bc 1.07.1-4
binutils 2.39-3
bison 3.8.2-4
blas 3.11.0-1
blender 17:3.3.1-6
blosc 1.21.1-2
blueman 2.3.5-1
bluez 5.66-1
bluez-libs 5.66-1
blur-effect 1.1.3-2
bmon 4.0-4
bolt 0.9.4-1
boost 1.80.0-3
boost-libs 1.80.0-3
botan 2.19.3-1
box2d 2.4.1-1
brave-bin 1:1.42.97-1
breeze-icons 5.100.0-1
bridge-utils 1.7.1-1
brltty 6.5-3
brotli 1.0.9-9
btrfs-progs 6.0.2-1
bubblewrap 0.7.0-1
byobu 5.133-3
bzip2 1.0.8-5
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.85-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cauchy 0.9.0-3
cava 0.8.2-4
cblas 3.11.0-1
ccze 0.2.1-12
cdparanoia 10.2-8
cdrtools 3.02a09-5
cheese 43alpha+r8+g1de47dbc-1
chromaprint 1.5.1-5
chrpath 0.16-4
cifs-utils 7.0-1
clang 14.0.6-4
clementine 1.4.0rc2-2
clion 1:2022.2.1-1
clucene 2.3.3.4-12
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.25.0-1
cmatrix 2.0-2
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.6-1
compiler-rt 14.0.6-1
confuse 3.3-3
convertlit 1.8-11
cool-retro-term 1.2.0-2
coreutils 9.1-3
corny-jokes-git r75.74f6bb5-1
countdown 1.0.4-1
cowsay 3.04-2
cpio 2.13-2
cracklib 2.9.8-1
crypto++ 8.7.0-1
cryptsetup 2.6.0-1
cups-pk-helper 0.2.7-1
curl 7.86.0-4
cython 0.29.32-2
dataspell 2022.2.1-1
dav1d 1.0.0-1
db 5.3.28-5
dbeaver 22.2.3-1
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dbvis 14.0-1
dcfldd 1.7.1-1
dconf 0.40.0-2
ddcutil 1.3.0-1
deepin-account-faces 1.0.12.1-1
deepin-anything 5.0.18-1
deepin-anything-arch 5.0.18-20
deepin-api 5.5.31-1
deepin-app-services 0.0.20-1
deepin-calendar 5.9.1-1
deepin-clutter 1.26.2-3
deepin-cogl 1.22.5-3
deepin-control-center 5.5.153-1
